Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\vehicles\slingshot-p01.blend"
Fra:1 Mem:29.49M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_tire
Fra:1 Mem:29.50M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_rim
Fra:1 Mem:29.51M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke
Fra:1 Mem:29.64M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.001
Fra:1 Mem:29.65M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.002
Fra:1 Mem:29.67M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.003
Fra:1 Mem:29.69M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.005
Fra:1 Mem:29.69M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.006
Fra:1 Mem:29.69M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.007
Fra:1 Mem:29.71M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.008
Fra:1 Mem:29.71M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.009
Fra:1 Mem:29.72M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_brake_disc
Fra:1 Mem:29.74M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.010
Fra:1 Mem:29.75M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.011
Fra:1 Mem:29.76M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.012
Fra:1 Mem:29.77M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.013
Fra:1 Mem:29.78M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.014
Fra:1 Mem:29.79M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.015
Fra:1 Mem:29.80M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.016
Fra:1 Mem:29.80M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.017
Fra:1 Mem:29.83M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.018
Fra:1 Mem:29.83M (Peak 29.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_machined_spoke.019
Fra:1 Mem:29.84M (Peak 29.85M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_left_brake_disc.001
Fra:1 Mem:29.86M (Peak 29.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_tire
