Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\harbor\harbor.blend"
Fra:1 Mem:256.00M (Peak 256.34M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | road_closed_asphalt
Fra:1 Mem:256.00M (Peak 256.34M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | runoff_left
Fra:1 Mem:256.00M (Peak 256.34M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | paint_edge_-1
Fra:1 Mem:256.03M (Peak 256.34M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | barriers_exact_route_colliders
Fra:1 Mem:256.24M (Peak 256.34M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Marina_water
Fra:1 Mem:256.41M (Peak 256.41M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_0_3.5
Fra:1 Mem:256.52M (Peak 256.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_0_0.65
Fra:1 Mem:256.59M (Peak 256.59M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_1
Fra:1 Mem:256.79M (Peak 256.79M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_1_1.12
Fra:1 Mem:256.89M (Peak 256.89M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_2
Fra:1 Mem:256.90M (Peak 256.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_2_3.5
Fra:1 Mem:256.89M (Peak 256.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_2_1.12
Fra:1 Mem:256.93M (Peak 256.93M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_3_-3.5
Fra:1 Mem:257.02M (Peak 257.02M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_3_3.5
Fra:1 Mem:257.18M (Peak 257.18M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_3_0.65
Fra:1 Mem:257.31M (Peak 257.31M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_4
Fra:1 Mem:257.32M (Peak 257.32M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_4_-3.5
Fra:1 Mem:257.32M (Peak 257.32M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_4_3.5
Fra:1 Mem:257.41M (Peak 257.41M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_4_0.65
