Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\harbor\harbor.blend"
Fra:1 Mem:256.98M (Peak 256.98M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | road_closed_asphalt
Fra:1 Mem:256.99M (Peak 256.99M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_1_-3.5
Fra:1 Mem:257.04M (Peak 257.04M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_2
Fra:1 Mem:257.19M (Peak 257.19M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_2
Fra:1 Mem:257.21M (Peak 257.21M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_2_-3.5
Fra:1 Mem:257.33M (Peak 257.33M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_2_3.5
Fra:1 Mem:257.47M (Peak 257.47M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_2_0.65
Fra:1 Mem:257.52M (Peak 257.52M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_2_1.12
Fra:1 Mem:257.52M (Peak 257.52M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_3
Fra:1 Mem:257.54M (Peak 257.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_3_1.12
Fra:1 Mem:257.59M (Peak 257.59M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_4
Fra:1 Mem:257.66M (Peak 257.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_4_3.5
Fra:1 Mem:257.66M (Peak 257.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_4_0.65
Fra:1 Mem:257.63M (Peak 257.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_4_1.12
Fra:1 Mem:257.64M (Peak 257.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_5_-3.5
Fra:1 Mem:257.66M (Peak 257.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_5_3.5
Fra:1 Mem:257.65M (Peak 257.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_5_0.65
Fra:1 Mem:257.71M (Peak 257.71M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_5_1.12
Fra:1 Mem:257.71M (Peak 257.71M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_6
Fra:1 Mem:257.76M (Peak 257.76M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_6
Fra:1 Mem:257.96M (Peak 257.96M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_6_-3.5
Fra:1 Mem:257.96M (Peak 257.96M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_6_0.65
Fra:1 Mem:257.97M (Peak 257.97M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_6_1.12
Fra:1 Mem:257.99M (Peak 257.99M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_7
Fra:1 Mem:257.99M (Peak 257.99M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_7
Fra:1 Mem:257.99M (Peak 257.99M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_7_-3.5
Fra:1 Mem:258.05M (Peak 258.05M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_7_1.12
Fra:1 Mem:258.04M (Peak 258.05M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_8
Fra:1 Mem:258.04M (Peak 258.05M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_8_-3.5
Fra:1 Mem:258.11M (Peak 258.11M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_8_3.5
Fra:1 Mem:258.29M (Peak 258.29M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_8_1.12
Fra:1 Mem:258.37M (Peak 258.37M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_9_-3.5
Fra:1 Mem:258.41M (Peak 258.41M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_9
Fra:1 Mem:258.41M (Peak 258.41M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_9_3.5
Fra:1 Mem:258.57M (Peak 258.57M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_10
Fra:1 Mem:258.60M (Peak 258.60M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_10_-3.5
Fra:1 Mem:258.66M (Peak 258.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_10_3.5
Fra:1 Mem:258.66M (Peak 258.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_10_0.65
Fra:1 Mem:258.64M (Peak 258.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_11
Fra:1 Mem:258.76M (Peak 258.76M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_11
Fra:1 Mem:258.76M (Peak 258.76M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_11_-3.5
Fra:1 Mem:258.77M (Peak 258.77M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_11_0.65
