baseline-clean {'frames': 1092, 'elapsedMs': 26042.799999999977, 'p50': 16.699999999999818, 'p95': 16.700000000000728, 'p99': 16.80000000000109, 'max': 3983.2000000000007, 'over33_4': 3, 'over50': 3, 'over100': 3, 'clampedCatchupMs': 7649.600000000001, 'meanCpuFrameMs': 6.1884615384625405, 'maxCpuFrameMs': 3984.1999999999534, 'meanCollectorMs': 0.005769230769060198}
baseline-diagnostic {'frames': 1094, 'elapsedMs': 25944.80000000001, 'p50': 16.69999999999891, 'p95': 16.799999999999272, 'p99': 16.80000000000291, 'max': 3916.5, 'over33_4': 3, 'over50': 3, 'over100': 3, 'clampedCatchupMs': 7516.4, 'meanCpuFrameMs': 5.781718464351495, 'maxCpuFrameMs': 3927.1999999999534, 'meanCollectorMs': 0.0037477148080225934}
baseline-diagnostic-gl {'frames': 731, 'elapsedMs': 20001.000000000022, 'p50': 16.699999999999818, 'p95': 16.700000000000728, 'p99': 16.80000000000109, 'max': 3949.8999999999996, 'over33_4': 3, 'over50': 3, 'over100': 3, 'clampedCatchupMs': 7633.099999999999, 'meanCpuFrameMs': 7.988782489741738, 'maxCpuFrameMs': 3956.8000000000466, 'meanCollectorMs': 0.00465116279120729}
cycle1-clean {'frames': 1448, 'elapsedMs': 24140.8, 'p50': 16.69999999999891, 'p95': 16.700000000000728, 'p99': 16.800000000000182, 'max': 83.40000000000009, 'over33_4': 2, 'over50': 2, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 1.7792817679542092, 'maxCpuFrameMs': 8.099999999976717, 'meanCollectorMs': 0.005041436463959762}
cycle1-full1080 {'frames': 9410, 'elapsedMs': 156827.1, 'p50': 16.69999999999709, 'p95': 16.70000000001164, 'p99': 16.80000000000291, 'max': 16.800000000017462, 'over33_4': 0, 'over50': 0, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 1.855664187035433, 'maxCpuFrameMs': 16, 'meanCollectorMs': 0.004473963868259932}
final-stock1080 {'frames': 9410, 'elapsedMs': 156827.0, 'p50': 16.69999999999709, 'p95': 16.70000000001164, 'p99': 16.80000000000291, 'max': 16.800000000017462, 'over33_4': 0, 'over50': 0, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 3.2238150903292735, 'maxCpuFrameMs': 19.899999999906868, 'meanCollectorMs': 0.005685441020537686}
scored-equipped1080 {'frames': 9410, 'elapsedMs': 156827.1, 'p50': 16.69999999999709, 'p95': 16.70000000001164, 'p99': 16.80000000000291, 'max': 16.800000000017462, 'over33_4': 0, 'over50': 0, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 3.4172369819352952, 'maxCpuFrameMs': 9.599999999860302, 'meanCollectorMs': 0.00875664187073668}
scored-equipped1080-repeat {'frames': 9410, 'elapsedMs': 156827.0, 'p50': 16.69999999999709, 'p95': 16.70000000001164, 'p99': 16.80000000000291, 'max': 16.800000000017462, 'over33_4': 0, 'over50': 0, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 2.237587672686422, 'maxCpuFrameMs': 10.900000000139698, 'meanCollectorMs': 0.004835281615228641}
scored-equipped720 {'frames': 9410, 'elapsedMs': 156827.1, 'p50': 16.69999999999709, 'p95': 16.70000000001164, 'p99': 16.80000000000291, 'max': 16.800000000017462, 'over33_4': 0, 'over50': 0, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 2.0227630180629874, 'maxCpuFrameMs': 10.100000000093132, 'meanCollectorMs': 0.004665249734315289}
scored-stock1080 {'frames': 9410, 'elapsedMs': 156827.00000000003, 'p50': 16.69999999999709, 'p95': 16.70000000001164, 'p99': 16.80000000000291, 'max': 16.800000000017462, 'over33_4': 0, 'over50': 0, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 2.308607863974223, 'maxCpuFrameMs': 14.600000000093132, 'meanCollectorMs': 0.005451647183406548}
scored-stock720 {'frames': 9409, 'elapsedMs': 156827.09999999998, 'p50': 16.69999999999709, 'p95': 16.70000000001164, 'p99': 16.80000000000291, 'max': 33.19999999999709, 'over33_4': 0, 'over50': 0, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 2.1967265384191763, 'maxCpuFrameMs': 10.799999999813735, 'meanCollectorMs': 0.0051227548092202604}
video-final {'frames': 1500, 'elapsedMs': 24999.0, 'p50': 16.69999999999891, 'p95': 16.700000000000728, 'p99': 16.800000000000182, 'max': 16.80000000000291, 'over33_4': 0, 'over50': 0, 'over100': 0, 'clampedCatchupMs': 0, 'meanCpuFrameMs': 2.75613333332104, 'maxCpuFrameMs': 7.300000000279397, 'meanCollectorMs': 0.006000000000620882}
